frame,site,drive,pose,landing_x,landing_y,landing_z,northing,easting,planetocentric_latitude,planetodetic_latitude,longitude,elevation,map_pixel_line,map_pixel_sample,dem_pixel_line,dem_pixel_sample,roll,pitch,yaw,quat_s,quat_v1,quat_v2,quat_v3,areoid,radius,sclk,sol
ROVER,27,248,-1,363.276,-2776.682,-43.201,1093662.971,4351717.404,18.450755826,18.346169209,77.401498476,-2526.709,3948.12,2549.61,987.03,637.40,-1.205,-0.281,139.181,0.348728270,-0.001369791,-0.010712780,0.937161600,3394505.752,3391979.043,716389638,557
ROVER,27,254,-1,364.780,-2777.950,-43.267,1093664.475,4351716.136,18.450781204,18.346169209,77.401475919,-2526.643,3942.10,2544.54,985.53,636.14,-1.539,-3.680,138.131,0.357490122,0.025189549,-0.024010142,0.933268368,3394505.748,3391979.105,716389734,557
ROVER,27,260,-1,364.780,-2777.950,-43.267,1093664.475,4351716.136,18.450781205,18.346169209,77.401475921,-2526.643,3942.10,2544.54,985.53,636.14,-1.340,-3.705,135.516,0.378642827,0.025494307,-0.023055559,0.924904346,3394505.748,3391979.105,716389778,557
ROVER,27,264,-1,364.776,-2777.956,-43.266,1093664.471,4351716.130,18.450781140,18.346169209,77.401475827,-2526.644,3942.12,2544.52,985.53,636.13,-1.208,-3.894,134.921,0.383406997,0.027337704,-0.022754034,0.922894359,3394505.748,3391979.104,716389793,557
ROVER,27,270,-1,365.312,-2778.485,-43.286,1093665.007,4351715.601,18.450790177,18.346169209,77.401466403,-2526.624,3939.97,2542.40,984.99,635.60,-1.757,-0.775,133.823,0.392196774,0.000209523,-0.016757799,0.919728637,3394505.748,3391979.123,716389839,557
ROVER,27,288,-1,365.268,-2778.499,-43.259,1093664.963,4351715.587,18.450789446,18.346169209,77.401466161,-2526.651,3940.15,2542.35,985.04,635.59,-0.069,1.779,-139.261,0.348038822,0.014345091,0.005965062,-0.937351406,3394505.748,3391979.097,716389966,557
ROVER,27,292,-1,365.264,-2778.496,-43.256,1093664.959,4351715.590,18.450789364,18.346169209,77.401466210,-2526.654,3940.17,2542.36,985.04,635.59,0.157,1.943,-139.017,0.349998057,0.016361183,0.004656631,-0.936595976,3394505.748,3391979.093,716390016,557
ROVER,27,298,-1,364.531,-2779.123,-43.307,1093664.226,4351714.963,18.450777009,18.346169209,77.401455073,-2526.603,3943.09,2539.85,985.77,634.96,-0.466,5.142,-138.997,0.350049615,0.040593162,0.019519627,-0.935647607,3394505.747,3391979.144,716390064,557
ROVER,27,304,-1,364.550,-2779.096,-43.309,1093664.245,4351714.990,18.450777317,18.346169209,77.401455545,-2526.601,3943.02,2539.96,985.76,634.99,-2.473,4.189,-158.995,0.182892069,0.031996299,0.027867075,-0.982216954,3394505.747,3391979.146,716390143,557
ROVER,27,308,-1,364.584,-2779.078,-43.311,1093664.279,4351715.008,18.450777892,18.346169209,77.401455863,-2526.599,3942.89,2540.03,985.72,635.01,-2.200,4.321,-157.076,0.199245945,0.033127200,0.026293004,-0.979036450,3394505.747,3391979.149,716390184,557
